Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen
2021-06-03;6;2021-04-03;63;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-03;6;2021-04-03;123;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-04;6;2021-04-03;46;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-04;6;2021-04-03;75;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-07;6;2021-04-03;26;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-12;6;2021-04-03;28;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-14;6;2021-04-03;22;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-16;6;2021-04-03;40;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-16;6;2021-04-03;58;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-19;6;2021-04-03;13;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-21;6;2021-04-03;13;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-26;6;2021-04-03;61;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-28;6;2021-04-03;28;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-01;7;2021-04-03;52;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-01;7;2021-04-03;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-05;7;2021-04-03;46;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-12;7;2021-04-03;52;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-12;7;2021-04-03;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-17;7;2021-04-03;81;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-19;7;2021-04-03;54;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-19;7;2021-04-03;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-24;7;2021-04-03;67;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-26;7;2021-04-03;53;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-07-26;7;2021-04-03;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-02;8;2021-04-03;44;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-06;8;2021-04-03;59;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-06;8;2021-04-03;130;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-07;8;2021-04-03;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-09;8;2021-04-03;44;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-14;8;2021-04-03;81;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-15;8;2021-04-03;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-16;8;2021-04-03;44;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-22;8;2021-04-03;45;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-23;8;2021-04-03;46;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-08-28;8;2021-04-03;47;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania
2021-06-01;6;2021-04-03;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-02;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-03;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-04;6;2021-04-03;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-06;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-07;6;2021-04-03;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-08;6;2021-04-03;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-09;6;2021-04-03;55;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-10;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-11;6;2021-04-03;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-15;6;2021-04-03;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-16;6;2021-04-03;55;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-17;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-18;6;2021-04-03;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-24;6;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-25;6;2021-04-03;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-28;6;2021-04-03;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-06-29;6;2021-04-03;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
2021-07-01;7;2021-04-03;65;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania
