Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia;;
01/06/2021;6;13/05/2021;52;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;1;;
01/06/2021;6;13/05/2021;90;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;1;;
02/06/2021;6;13/05/2021;61;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2;;
02/06/2021;6;13/05/2021;225;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;2;;
03/06/2021;6;13/05/2021;34;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;3;;
03/06/2021;6;13/05/2021;160;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;3;;
04/06/2021;6;13/05/2021;28;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;4;;
04/06/2021;6;13/05/2021;72;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;4;;
05/06/2021;6;13/05/2021;42;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;5;;
06/06/2021;6;13/05/2021;40;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6;;
06/06/2021;6;13/05/2021;72;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6;;
07/06/2021;6;13/05/2021;22;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;7;;
08/06/2021;6;13/05/2021;39;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;8;;
08/06/2021;6;13/05/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;8;;
09/06/2021;6;13/05/2021;59;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9;;
09/06/2021;6;13/05/2021;74;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9;;
10/06/2021;6;13/05/2021;36;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;10;;
